time,TOTAL GREEN HYDROGEN DEMAND
2038.2,19239912.322095715
2038.25,19386758.427824177
2038.3,19533536.943450265
2038.35,19680241.355717257
2038.4,19826317.039083164
2038.45,19972306.08694826
2038.5,20118204.393032655
2038.55,20264007.440689564
2038.6,20409710.42888745
2038.65,20555308.37964763
2038.7,20700796.22917813
2038.75,20846168.90467499
2038.8,20991421.388532326
2038.85,21136548.771503434
2038.9,21281546.29618216
2038.95,21426409.392021783
2039.0,21571133.702973776
2039.05,21715715.10870964
2039.1,21860150.694196597
2039.15,22005018.19287943
2039.2,22149739.72932052
2039.25,22294315.22517845
2039.3,22438745.104561836
2039.35,22583030.181353748
2039.4,22726579.127618946
2039.45,22869983.713700697
2039.5,23013245.43136471
2039.55,23156365.86566952
2039.6,23299346.64913655
2039.65,23442189.42432513
2039.7,23584895.81362962
2039.75,23727467.395264886
2039.8,23869910.74415248
2039.85,24012236.29006288
2039.9,24154457.346330408
2039.95,24296589.28779487
2040.0,24438648.858995885
2040.05,24580653.595815375
2040.1,24722772.48783016
2040.15,24865639.663619623
2040.2,25008649.51121575
2040.25,25151814.546447948
2040.3,25295146.526999086
2040.35,25438025.711839058
2040.4,25581091.087100647
2040.45,25724351.46351829
2040.5,25867814.48722048
2040.55,26011486.612764228
2040.6,26155373.096675012
2040.65,26299478.007969838
2040.7,26443804.25259115
2040.75,26588353.60907744
2040.8,26733126.773146868
2040.85,26878123.409180574
2040.9,27023342.20686622
2040.95,27168780.941505104
2041.0,27314436.55911713
2041.05,27460305.257731512
2041.1,27606382.564646132
2041.15,27753312.160649788
2041.2,27900441.33844261
2041.25,28047764.503135055
2041.3,28195275.638565976
2041.35,28342313.415093403
2041.4,28489525.531759873
2041.45,28636905.035798747
2041.5,28784444.74692113
2041.55,28932137.297326744
2041.6,29079975.16819658
2041.65,29227950.722838387
2041.7,29376056.236662857
2041.75,29524283.92417129
2041.8,29672616.02993634
2041.85,29821054.08706352
2041.9,29969590.25108134
2041.95,30118211.547239304
2042.0,30266901.06876103
2042.05,30415638.99445775
2042.1,30564403.447731942
2042.15,30713859.049206745
2042.2,30863296.74848883
2042.25,31012692.930624444
2042.3,31162029.25379245
2042.35,31310609.405883357
2042.4,31459104.425114866
2042.45,31607488.84161806
2042.5,31755775.42563138
2042.55,31903961.34762872
2042.6,32052045.346270908
2042.65,32200027.376116604
2042.7,32347908.308023743
2042.75,32495689.675632328
2042.8,32643373.462068535
2042.85,32790961.921683297
2042.9,32938457.432243355
2042.95,33085862.373531602
2043.0,33233179.028795656
2043.05,33380409.80526931
2043.1,33527557.263552696
2043.15,33675363.513280794
2043.2,33823091.887509346
2043.25,33970743.92464161
2043.3,34118291.46819632
2043.35,34265042.0799202
2043.4,34411717.155028805
2043.45,34558316.61747549
2043.5,34704840.003770865
2043.55,34851286.47478853
2043.6,34997654.83038525
2043.65,35143943.52622979
2043.7,35290150.692319945
2043.75,35436274.15274042
2043.8,35582311.44627994
2043.85,35728259.84758235
2043.9,35874116.3885563
2043.95,36019877.87981199
2044.0,36165540.93193076
2044.05,36311101.97640723
2044.1,36456557.28613183
2044.15,36602694.73168766
2044.2,36748721.66713898
2044.25,36894591.919347025
2044.3,37040343.96908203
2044.35,37185213.09230353
2044.4,37329955.4518215
2044.45,37474567.20939503
2044.5,37619044.473856315
2044.55,37763383.315126404
2044.6,37907579.77746003
2044.65,38051629.89192806
2044.7,38195529.688150026
2044.75,38339275.205292545
2044.8,38482862.50235204
2044.85,38626287.66774193
2044.9,38769553.03501518
2044.95,38912665.739815176
2045.0,39055636.49733975
2045.05,39198478.57212458
2045.1,39268158.428262085
2045.15,39337765.30116777
2045.2,39407323.95360209
2045.25,39476849.14617932
2045.3,39546347.2130072
2045.35,39615817.45110191
2045.4,39685253.34373228
2045.45,39754643.635247834
2045.5,39823973.272912204
2045.55,39893224.22962178
2045.6,39962376.22001867
2045.65,40031407.321325995
2045.7,40100294.509188116
2045.75,40169014.117853686
2045.8,40237542.23317374
2045.85,40305855.02608694
2045.9,40373929.03352204
2045.95,40441741.39295949
2046.0,40509270.03625643
2046.05,40576493.847752064
2046.1,40643392.79113002
2046.15,40709948.549782746
2046.2,40776144.030329704
2046.25,40841963.41802755
2046.3,40907392.21448099
2046.35,40972417.26008296
2046.4,41037026.74332133
2046.45,41101210.19883064
2046.5,41164958.49583854
2046.55,41228264.011779785
2046.6,41291120.78881881
2046.65,41353523.54070475
2046.7,41415468.20004639
2046.75,41476951.87722022
2046.8,41537972.81608996
2046.85,41598530.34719676
2046.9,41658624.838998064
2046.95,41718257.64766203
2047.0,41777431.06586224
2047.05,41836148.270962164
2047.1,41894413.27293031
2047.15,41952231.40041687
2047.2,42009608.67863549
2047.25,42066551.77858285
2047.3,42123067.96703885
2047.35,42179165.057509996
2047.4,42234851.36225578
2047.45,42290135.64551692
2047.5,42345027.078046046
2047.55,42399535.19302431
2047.6,42453669.84343316
2047.65,42507441.16093671
2047.7,42560859.516318455
2047.75,42613935.4815051
2047.8,42666679.793201
2047.85,42719103.31814748
2047.9,42771217.02001428
2047.95,42823031.927922666
2048.0,42874559.10659401
2048.05,42925809.62811201
2048.1,42976794.54528137
2048.15,43027525.41321738
2048.2,43078013.68711181
2048.25,43128270.700684376
2048.3,43178307.64618168
2048.35,43228135.5558846
2048.4,43277765.28508276
2048.45,43327207.4964731
2048.5,43376472.645937994
2048.55,43425570.96965708
2048.6,43474512.47250585
2048.65,43523306.91769389
2048.7,43571963.81759402
2048.75,43620492.42571454
2048.8,43668901.72976538
2048.85,43717200.44576995
2048.9,43765397.88431222
2048.95,43813503.72612193
2049.0,43861527.84074768
2049.05,43909480.1397366
2049.1,43957370.455445305
2049.15,44005208.98885857
2049.2,44053005.650890924
2049.25,44100769.998832524
2049.3,44148511.18675536
2049.35,44196237.92784378
2049.4,44243958.46688748
2049.45,44291680.56141196
2049.5,44339411.47012751
2049.55,44387157.947555736
2049.6,44434926.24384627
2049.65,44482722.10892888
2049.7,44530550.80026151
2049.75,44578417.093533255
2049.8,44626325.29576745
2049.85,44674279.26034456
2049.9,44722282.40352866
2049.95,44770337.72213819
2050.0,44818447.81204995
